21007027,城市战略规划与管理                               ,3
21007028,城市总体规划                                  ,3
21007029,城市总体规划实践                                ,2
21007030,城市总体规划原理                                ,3
21007031,当代中国政府                                  ,3
21007032,地方政府管理                                  ,2
21007033,地籍测量学                                   ,3
21007034,地籍管理                                    ,3
21007035,地理信息系统                                  ,3
21007036,发展战略与规划                                 ,3
21007037,房地产服务市场                                 ,2
21007038,房地产开发与经营                                ,3
21007039,非营利组织策略管理                               ,3
21007040,非营利组织概论                                 ,2
21007041,非营利组织管理                                 ,2
21007042,公共部门人力资源管理                              ,3
21007043,公共财政学                                   ,2
21007044,公共冲突管理与解决                               ,2
21007045,公共关系和危机管理                               ,2
21007046,公共管理学                                   ,3
21007047,公共行政学                                   ,3
21007048,公共行政学说史                                 ,3
21007049,公共项目管理                                  ,2
21007050,公共政策                                    ,2
21007051,公共政策导论                                  ,3
21007052,公共政策分析                                  ,3
21007053,公共政策原理与分析                               ,3
21007054,公共组织学                                   ,2
21007055,公共组织与管理                                 ,2
21007056,公文写作与处理                                 ,3
21007057,管理科学专题                                  ,1
21007058,管理信息系统                                  ,3
21007059,管理学基础                                   ,2
21007060,管理学原理                                   ,2
21007061,国际经贸地理                                  ,3
21007062,国家发展计划学                                 ,3
21007063,国家发展战略与规划                               ,3
21007064,国民经济管理                                  ,4
21007065,国民经济管理学                                 ,3
21007066,国民经济管理原理                                ,3
21007067,国外危机与应急管理                               ,2
21007068,行政法                                     ,3
21007069,行政伦理学                                   ,2
21007070,行政学导论                                   ,4
21007071,合作组织与管理                                 ,3
21007072,建筑学概论                                   ,2
21007073,建筑学基础                                   ,4
21007074,教育、文化与社会                                ,2
21007075,教育管理纠纷案例分析                              ,2
21007076,教育管理学                                   ,2
21007077,教育经济学                                   ,2
21007078,教育文化学                                   ,2
21007079,决策与原理发展                                 ,2
21007080,劳动与社会保障政策分析                             ,1
21007081,量化分析方法                                  ,3
21007082,领导学                                     ,2
21007083,区域发展与规划                                 ,2
21007084,区域经济管理                                  ,3
21007085,区域与世界经济                                 ,3
21007086,人才规划与管理                                 ,2
